Date,Open,High,Low,Close,Adj Close,Volume,Yesterday_Open,Yesterday_High,Yesterday_Low,Yesterday_Close,Yesterday_AdjClose,Yesterday_Volumne,Market
8/30/12,3066.72998,3067.540039,3045.919922,3048.709961,3048.709961,1216640000,3078.050049,3087.23999,3067.620117,3081.189941,3081.189941,1282900000,Red
8/31/12,3069.639893,3078.52002,3040.590088,3066.959961,3066.959961,1394760000,3066.72998,3067.540039,3045.919922,3048.709961,3048.709961,1216640000,Green
9/4/12,3063.25,3082.26001,3040.23999,3075.060059,3075.060059,1505960000,3069.639893,3078.52002,3040.590088,3066.959961,3066.959961,1394760000,Green
9/5/12,3072.580078,3082.75,3062.540039,3069.27002,3069.27002,1495030000,3063.25,3082.26001,3040.23999,3075.060059,3075.060059,1505960000,Red
9/6/12,3087.939941,3135.810059,3087.669922,3135.810059,3135.810059,1918900000,3072.580078,3082.75,3062.540039,3069.27002,3069.27002,1495030000,Green
9/7/12,3133.219971,3139.610107,3128.169922,3136.419922,3136.419922,1740640000,3087.939941,3135.810059,3087.669922,3135.810059,3135.810059,1918900000,Green
9/10/12,3131.340088,3133.889893,3102.76001,3104.02002,3104.02002,1575370000,3133.219971,3139.610107,3128.169922,3136.419922,3136.419922,1740640000,Red
9/11/12,3105.02002,3117.860107,3099.100098,3104.530029,3104.530029,1586250000,3131.340088,3133.889893,3102.76001,3104.02002,3104.02002,1575370000,Green
9/12/12,3115.330078,3120.120117,3098.820068,3114.310059,3114.310059,1689140000,3105.02002,3117.860107,3099.100098,3104.530029,3104.530029,1586250000,Green
9/13/12,3117.659912,3167.629883,3112.620117,3155.830078,3155.830078,1870050000,3115.330078,3120.120117,3098.820068,3114.310059,3114.310059,1689140000,Green
9/14/12,3166.23999,3195.669922,3164.26001,3183.949951,3183.949951,1984720000,3117.659912,3167.629883,3112.620117,3155.830078,3155.830078,1870050000,Green
9/17/12,3183.399902,3183.399902,3168.629883,3178.669922,3178.669922,1485390000,3166.23999,3195.669922,3164.26001,3183.949951,3183.949951,1984720000,Red
9/18/12,3173.620117,3179.370117,3169.409912,3177.800049,3177.800049,1707200000,3183.399902,3183.399902,3168.629883,3178.669922,3178.669922,1485390000,Red
9/19/12,3179.040039,3189.350098,3170.290039,3182.620117,3182.620117,1850920000,3173.620117,3179.370117,3169.409912,3177.800049,3177.800049,1707200000,Green
9/20/12,3166.840088,3178.449951,3156.459961,3175.959961,3175.959961,1809130000,3179.040039,3189.350098,3170.290039,3182.620117,3182.620117,1850920000,Red
9/21/12,3194.860107,3196.929932,3178.090088,3179.959961,3179.959961,2526250000,3166.840088,3178.449951,3156.459961,3175.959961,3175.959961,1809130000,Green
9/24/12,3155.350098,3167.73999,3150.709961,3160.780029,3160.780029,1704860000,3194.860107,3196.929932,3178.090088,3179.959961,3179.959961,2526250000,Red
9/25/12,3170.370117,3176.300049,3117.72998,3117.72998,3117.72998,1975470000,3155.350098,3167.73999,3150.709961,3160.780029,3160.780029,1704860000,Red
9/26/12,3113.399902,3114.540039,3080.280029,3093.699951,3093.699951,1738010000,3170.370117,3176.300049,3117.72998,3117.72998,3117.72998,1975470000,Red
9/27/12,3105.870117,3142.02002,3098.459961,3136.600098,3136.600098,1691800000,3113.399902,3114.540039,3080.280029,3093.699951,3093.699951,1738010000,Green
9/28/12,3125.310059,3132.51001,3109.909912,3116.22998,3116.22998,1864640000,3105.870117,3142.02002,3098.459961,3136.600098,3136.600098,1691800000,Red
10/1/12,3130.310059,3146.98999,3103.889893,3113.530029,3113.530029,1758170000,3125.310059,3132.51001,3109.909912,3116.22998,3116.22998,1864640000,Red
10/2/12,3127.72998,3131.639893,3101.639893,3120.040039,3120.040039,1609570000,3130.310059,3146.98999,3103.889893,3113.530029,3113.530029,1758170000,Green
